Designator,Mid X,Mid Y,Rotation,Layer
C201,135.0,-69.8,270.0,bottom
C202,177.2,-94.6,0.0,bottom
C203,135.0,-89.625,270.0,bottom
C204,176.1,-151.8,0.0,bottom
C205,135.9,-109.9,270.0,bottom
C206,175.2,-189.4,0.0,bottom
C207,132.7,-129.7,270.0,bottom
C208,175.5,-209.575,270.0,bottom
C209,135.2,-150.9,270.0,bottom
C210,174.3,-70.4,0.0,bottom
C211,135.1,-170.2,270.0,bottom
C212,175.9,-109.3,270.0,bottom
C213,135.1,-190.2,270.0,bottom
C214,172.8,-129.875,270.0,bottom
C215,135.0,-209.7,270.0,bottom
C216,175.225,-172.06,0.0,bottom
C217,215.1,-209.9,0.0,bottom
C218,255.3,-209.0,0.0,bottom
C219,216.3,-109.9,270.0,bottom
C220,252.8,-130.2,270.0,bottom
C221,215.1,-151.7,0.0,bottom
C222,255.1,-88.1,270.0,bottom
C223,212.9,-88.8,270.0,bottom
C224,254.575,-171.9,0.0,bottom
C225,215.075,-70.1,0.0,bottom
C226,255.0,-191.5,0.0,bottom
C227,214.825,-171.1,0.0,bottom
C228,256.4,-111.1,270.0,bottom
C229,212.6,-128.8,270.0,bottom
C230,254.9,-149.9,180.0,bottom
C231,215.1,-190.2,0.0,bottom
C232,255.2,-69.6,270.0,bottom
C233,136.3,-145.3,180.0,bottom
C234,176.2,-145.8,180.0,bottom
C235,216.4,-145.5,180.0,bottom
C236,255.825,-145.3,180.0,bottom
C37,87.4,-201.7,90.0,bottom
C38,92.3,-200.4,270.0,bottom
C39,94.7,-200.9,270.0,bottom
C40,99.4,-204.1,180.0,bottom
C41,96.1,-205.3,90.0,bottom
C42,111.45,-185.95,0.0,bottom
C43,102.65,-197.6,90.0,bottom
C44,106.4,-205.15,270.0,bottom
C45,104.9,-203.1,270.0,bottom
C46,103.25,-202.75,270.0,bottom
C47,114.55,-190.275,0.0,bottom
D1,97.5,-142.25,180.0,top
D10,101.0,-105.0,180.0,top
D11,92.5,-79.0,180.0,top
D2,97.5,-138.25,180.0,top
D3,92.5,-84.0,180.0,top
D4,102.5,-81.5,180.0,top
D5,107.5,-140.25,180.0,top
D6,108.0,-105.0,180.0,top
D7,94.0,-105.0,180.0,top
D8,102.5,-66.5,180.0,top
D9,87.0,-105.0,180.0,top
FB1,89.9,-201.0,90.0,bottom
H1,124.9875,-210.0,0.0,bottom
